DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2025-03-24T10:11:49Z,-0.108,10.6004,21.96,3.4768,0.1278,0.6345,3.7994,19.929899,27.991,10.8031,97.223,104.69,2.051029008549558,0.092,0
2025-03-24T10:11:49Z,-0.084,10.6,21.96,3.4653,0.1278,0.6345,3.739,19.936857,28.001,10.8148,97.106,100.21,2.051826200291158,0.086,0
2025-03-24T10:11:49Z,-0.063,10.5995,21.96,3.4615,0.1278,0.6345,3.7088,19.946511,28.015,10.8226,96.898,102.48,2.0529393387409534,0.079,0
2025-03-24T10:11:49Z,-0.044,10.5989,22.05,3.5989,0.1278,0.6345,3.8296,19.947499,28.016,10.8251,96.606,95.226,2.0530497654028412,0.072,0
2025-03-24T10:11:49Z,-0.028,10.5984,22.05,3.6103,0.1278,0.6345,3.875,19.936103,28,10.8206,96.276,104.44,2.051835979332586,0.066,0
2025-03-24T10:11:49Z,-0.013,10.598,22.05,3.6103,0.1278,0.6345,3.8145,19.915257,27.971,10.8077,95.987,96.706,2.04960832465536,0.063,0
2025-03-24T10:11:49Z,0.001,10.5978,22.05,3.595,0.1278,0.6345,3.8447,19.903289,27.954,10.7847,95.823,101.11,2.048300435141508,0.062,0
2025-03-24T10:11:49Z,0.015,10.5977,21.96,3.5874,0.1704,0.54990000000000006,3.8901,19.922885,27.982,10.7522,95.84,99.889,2.050477360266592,0.063,0
2025-03-24T10:11:49Z,0.03,10.5977,21.96,3.5836,0.1704,0.54990000000000006,3.8598,19.965338,28.041,10.7154,96.047,98.852,2.0550537047238144,0.065,0
2025-03-24T10:11:49Z,0.047,10.5977,21.96,3.6217,0.1704,0.54990000000000006,3.7692,19.98623,28.071,10.6833,96.404,89.119,2.05738063058838,0.069,0
2025-03-24T10:11:49Z,0.066,10.5977,21.96,3.5989,0.1704,0.54990000000000006,3.8901,19.971225,28.05,10.665,96.833,87.831,2.0557508276634895,0.073,0
2025-03-24T10:11:49Z,0.086,10.5976,21.96,3.6179,0.1704,0.5922,3.8296,19.956136,28.029,10.6669,97.242,81.611,2.0541266550143007,0.076,0
2025-03-24T10:11:49Z,0.106,10.5974,21.96,3.5721,0.1704,0.5922,3.7541,19.956844,28.03,10.69,97.54,78.447,2.0542147525941754,0.078,0
2025-03-24T10:11:49Z,0.127,10.5971,21.96,3.6103,0.1704,0.5922,3.7843,19.957614,28.031,10.7298,97.665,75.389,2.054308424790145,0.079,0
2025-03-24T10:11:49Z,0.148,10.5969,21.96,3.6027,0.1704,0.5922,3.8447,19.950689,28.021,10.7776,97.606,70.646,2.0535431394214925,0.079,0
2025-03-24T10:11:49Z,0.168,10.5967,21.96,3.492,0.1704,0.5922,3.8901,19.946166,28.015,10.8232,97.388,67.862,2.0530881987558267,0.078,0
2025-03-24T10:11:49Z,0.188,10.5966,22.05,3.4577,0.1704,0.6768,4.0109,19.946819,28.016,10.8564,97.062,68.336,2.053170750928155,0.077,0
2025-03-24T10:11:49Z,0.207,10.5968,22.05,3.4806,0.1704,0.6768,3.7843,19.94088,28.008,10.8703,96.702,67.334,2.052538416650354,0.076,0
2025-03-24T10:11:49Z,0.226,10.597,22.05,3.4844,0.1704,0.6768,3.875,19.930746,27.994,10.8637,96.37,67.951,2.051440704777697,0.076,0
2025-03-24T10:11:49Z,0.244,10.597,22.05,3.5226,0.1704,0.6768,3.8296,19.929638,27.993,10.8393,96.104,66.433,2.051362540378895,0.077,0
2025-03-24T10:11:49Z,0.263,10.5968,21.96,3.5454,0.1704,0.5922,3.6937,19.9293,27.993,10.8031,95.915,66.173,2.051373109044484,0.079,0
2025-03-24T10:11:49Z,0.284,10.5964,21.96,3.5111,0.1704,0.5922,3.8901,19.909735,27.966,10.7631,95.794,63.373,2.049300378403216,0.08,0
2025-03-24T10:11:49Z,0.305,10.5959,21.96,3.5302,0.1704,0.5922,3.8447,19.873688,27.915,10.7263,95.721,59.052,2.045371837807616,0.082,0
2025-03-24T10:11:49Z,0.327,10.5952,21.96,3.431,0.1704,0.5922,3.739,19.839414,27.867,10.6969,95.688,56.148,2.041687404188542,0.082,0
2025-03-24T10:11:49Z,0.349,10.5945,21.96,3.4234,0.1278,0.6345,3.7239,19.819672,27.84,10.6761,95.704,55.037,2.0396317304918914,0.082,0
2025-03-24T10:11:49Z,0.37,10.5938,21.96,3.4157,0.1278,0.6345,3.7994,19.817158,27.836,10.6627,95.781,53.866,2.0393596291623877,0.082,0
2025-03-24T10:11:49Z,0.39,10.5934,21.96,3.4043,0.1278,0.6345,3.8901,19.831203,27.856,10.6547,95.908,52.218,2.0409321468901154,0.081,0
2025-03-24T10:11:49Z,0.41,10.5932,21.96,3.5874,0.1278,0.6345,3.8145,19.85759,27.894,10.651,96.06,51.128,2.0438896889858187,0.08,0
2025-03-24T10:11:49Z,0.43,10.5933,21.96,3.6027,0.1278,0.6345,3.8296,19.873495,27.917,10.6529,96.209,49.553,2.0456674199988454,0.078,0
2025-03-24T10:11:49Z,0.45,10.5933,21.96,3.6027,0.1704,0.6345,3.7994,19.865245,27.906,10.6614,96.341,47.394,2.044813614747292,0.077,0
2025-03-24T10:11:49Z,0.47,10.5932,21.96,3.6065,0.1704,0.6345,3.8598,19.844574,27.879,10.6756,96.462,45.894,2.0427244629599395,0.074,0
2025-03-24T10:11:49Z,0.49,10.5928,21.96,3.5721,0.1704,0.6345,3.8447,19.831846,27.862,10.6926,96.58,44.849,2.0414276088577825,0.071,0
2025-03-24T10:11:49Z,0.508,10.5919,21.96,3.5989,0.1704,0.6345,3.8447,19.847556,27.884,10.7094,96.696,43.99,2.0431831887707306,0.067,0
2025-03-24T10:11:49Z,0.524,10.5904,21.96,3.5912,0.1278,0.5922,3.8296,19.88793,27.941,10.7245,96.82,43.733,2.0476872388128116,0.063,0
2025-03-24T10:11:49Z,0.539,10.5886,21.96,3.5798,0.1278,0.5922,3.7088,19.929895,28,10.7384,96.956,43.43,2.0523642177003176,0.06,0
2025-03-24T10:11:49Z,0.554,10.5871,21.96,3.5798,0.1278,0.5922,3.9354,19.956772,28.037,10.7519,97.092,43.091,2.055318382454437,0.057,0
2025-03-24T10:11:49Z,0.567,10.5863,21.96,3.5989,0.1278,0.5922,3.8145,19.969757,28.054,10.765,97.207,42.469,2.056681851570144,0.055,0
2025-03-24T10:11:49Z,0.581,10.5865,21.96,3.5874,0.1278,0.6345,3.8296,19.980274,28.069,10.7789,97.275,41.484,2.0578343742960965,0.053,0
2025-03-24T10:11:49Z,0.594,10.5872,21.96,3.6027,0.1278,0.6345,3.8447,19.995111,28.089,10.7938,97.274,40.486,2.05934700932463,0.053,0
2025-03-24T10:11:49Z,0.607,10.588,21.96,3.7438,0.1278,0.6345,3.6332,20.002298,28.099,10.8086,97.212,40.092,2.0600779905272044,0.053,0
2025-03-24T10:11:49Z,0.621,10.5885,21.96,3.7209,0.1278,0.6345,3.8598,19.991807,28.084,10.8213,97.108,39.788,2.0588855464425033,0.054,0
2025-03-24T10:11:49Z,0.634,10.5888,21.96,3.7133,0.1278,0.54990000000000006,3.7994,19.976768,28.063,10.8288,96.987,39.737,2.0572387030596273,0.055,0
2025-03-24T10:11:49Z,0.648,10.5891,21.96,3.7133,0.1278,0.54990000000000006,3.8598,19.967102,28.05,10.8287,96.873,39.145,2.05621272334598,0.056,0
2025-03-24T10:11:49Z,0.662,10.5894,21.96,3.6713,0.1278,0.54990000000000006,4.0562,19.962224,28.043,10.8216,96.784,37.948,2.0556523681624816,0.057,0
2025-03-24T10:11:49Z,0.678,10.5897,21.96,3.6713,0.1278,0.54990000000000006,4.026,19.958842,28.038,10.8101,96.727,37.019,2.0552471895295548,0.059,0
2025-03-24T10:11:49Z,0.693,10.5898,21.96,3.637,0.1278,0.54990000000000006,3.9656,19.960036,28.04,10.7966,96.703,36.81,2.055396300930493,0.06,0
2025-03-24T10:11:49Z,0.709,10.5899,21.96,3.6828,0.1278,0.54990000000000006,4.162,19.95617,28.035,10.7839,96.711,35.708,2.0550022840779496,0.06,0
2025-03-24T10:11:49Z,0.724,10.5899,21.96,3.4234,0.1278,0.54990000000000006,3.8296,19.942232,28.016,10.7739,96.753,35.352,2.0535275740021506,0.061,0
2025-03-24T10:11:49Z,0.739,10.5898,21.96,3.4081,0.1278,0.54990000000000006,3.8145,19.942375,28.018,10.7676,96.83,35.039,2.053687857045307,0.062,0
2025-03-24T10:11:49Z,0.755,10.5895,21.96,3.4119,0.1278,0.54990000000000006,3.8598,19.960617,28.045,10.7651,96.927,34.638,2.055799132866467,0.062,0
2025-03-24T10:11:49Z,0.771,10.589,21.96,3.4386,0.1704,0.6345,3.8598,19.977936,28.072,10.766,97.018,33.761,2.0579217240929033,0.062,0
2025-03-24T10:11:49Z,0.787,10.588,21.96,3.8277,0.1704,0.6345,4.0562,19.977053,28.074,10.7709,97.094,32.501,2.058132274936048,0.062,0
2025-03-24T10:11:49Z,0.804,10.5865,21.96,3.8583,0.1704,0.6345,4.0109,19.959724,28.052,10.7799,97.15,31.356,2.0565082120106317,0.06,0
2025-03-24T10:11:49Z,0.82,10.5841,21.96,3.8468,0.1704,0.6345,3.9807,19.943224,28.031,10.7913,97.174,30.529,2.055011903449278,0.056,0
2025-03-24T10:11:49Z,0.834,10.5807,22.05,3.8354,0.1704,0.5922,4.1167,19.929125,28.012,10.8023,97.154,29.724,2.053726491788755,0.051,0
2025-03-24T10:11:49Z,0.847,10.5769,22.05,3.4386,0.1704,0.5922,3.8598,19.913667,27.991,10.8117,97.077,29.263,2.0523080264365237,0.046,0
2025-03-24T10:11:49Z,0.857,10.5735,22.05,3.3929,0.1704,0.5922,3.8598,19.906662,27.98,10.8188,96.939,28.89,2.0516432740452544,0.04,0
2025-03-24T10:11:49Z,0.866,10.5709,22.05,3.4043,0.1704,0.5922,3.8296,19.90226,27.973,10.8221,96.756,28.89,2.051244427021937,0.035,0
2025-03-24T10:11:49Z,0.874,10.5695,21.96,3.4081,0.1278,0.6345,3.7692,19.881374,27.942,10.8203,96.556,29.111,2.0489159025283676,0.03,0
2025-03-24T10:11:49Z,0.88,10.5693,21.96,3.4386,0.1278,0.6345,3.6332,19.856348,27.905,10.8118,96.36,29.225,2.0460550923150937,0.027,0
2025-03-24T10:11:49Z,0.886,10.57,21.96,3.1869,0.1278,0.6345,3.5577,19.840415,27.881,10.7962,96.181,29.123,2.0441534587209076,0.025,0
2025-03-24T10:11:49Z,0.892,10.5715,21.96,3.2441,0.1278,0.6345,3.6181,19.819373,27.85,10.7754,96.037,29.776,2.041664496662076,0.025,0
2025-03-24T10:11:49Z,0.897,10.5735,21.96,3.2364,0.1278,0.6345,3.5124,19.797565,27.818,10.7526,95.949,30.259,2.0390707041699776,0.027,0
2025-03-24T10:11:49Z,0.903,10.5758,21.96,3.2441,0.1278,0.6345,3.4369,19.803014,27.826,10.7303,95.933,30.596,2.039563884914157,0.031,0
2025-03-24T10:11:49Z,0.911,10.5781,21.96,3.4997,0.1278,0.6345,3.5426,19.835184,27.871,10.7098,95.986,30.856,2.0429274807988387,0.036,0
2025-03-24T10:11:49Z,0.92,10.5801,21.96,3.4806,0.1278,0.6345,3.5275,19.864832,27.914,10.6932,96.087,30.876,2.0461525344652087,0.042,0
2025-03-24T10:11:49Z,0.931,10.5815,21.96,3.473,0.1278,0.6345,3.5577,19.881948,27.94,10.6831,96.213,30.417,2.048091751114956,0.048,0
2025-03-24T10:11:49Z,0.945,10.5818,21.96,3.4501,0.1278,0.54990000000000006,3.5728,19.893088,27.958,10.6813,96.352,28.965,2.0494713504692115,0.054,0
2025-03-24T10:11:49Z,0.961,10.5809,21.96,3.2937,0.1278,0.54990000000000006,3.8145,19.89923,27.968,10.6873,96.51,27.226,2.050296886786489,0.058,0
2025-03-24T10:11:49Z,0.978,10.579,21.96,3.2937,0.1278,0.54990000000000006,3.8145,19.898032,27.967,10.6991,96.679,26.239,2.0503245055918193,0.061,0
2025-03-24T10:11:49Z,0.995,10.5765,21.96,3.2822,0.1278,0.54990000000000006,3.6937,19.887184,27.952,10.7137,96.834,25.452,2.049299023111627,0.063,0
2025-03-24T10:11:49Z,1.011,10.5741,21.96,3.267,0.1704,0.5076,3.7994,19.865784,27.922,10.7298,96.946,25.414,2.0471037989502685,0.064,0
2025-03-24T10:11:49Z,1.027,10.5722,21.96,3.3013,0.1704,0.5076,3.875,19.836086,27.881,10.7478,96.982,25.636,2.044027133411784,0.064,0
2025-03-24T10:11:49Z,1.043,10.5712,21.96,3.3051,0.1704,0.5076,3.9656,19.820032,27.859,10.7669,96.9,23.856,2.042374885999333,0.064,0
2025-03-24T10:11:49Z,1.06,10.5707,21.96,3.2937,0.1704,0.5076,3.8447,19.841207,27.889,10.7844,96.654,23.162,2.0447301243137836,0.063,0
2025-03-24T10:11:49Z,1.077,10.5704,22.05,3.3013,0.1704,0.5922,3.8145,19.8754,27.938,10.797,96.224,22.566,2.048549174596527,0.062,0
2025-03-24T10:11:49Z,1.093,10.5699,22.05,3.2288,0.1704,0.5922,3.8447,19.887936,27.957,10.8011,95.639,22.872,2.0500512190300832,0.06,0
2025-03-24T10:11:49Z,1.108,10.5692,22.05,3.2441,0.1704,0.5922,3.6937,19.882157,27.949,10.7921,94.963,22.57,2.049468768450858,0.058,0
2025-03-24T10:11:49Z,1.122,10.5684,22.05,3.2364,0.1704,0.5922,3.9052,19.880409,27.948,10.7648,94.277,20.995,2.0494352136886254,0.055,0
2025-03-24T10:11:49Z,1.135,10.5674,22.05,3.2326,0.1704,0.5922,3.7994,19.890189,27.963,10.7172,93.673,21.568,2.050654810579016,0.053,0
2025-03-24T10:11:49Z,1.148,10.5665,22.05,3.1449,0.1278,0.5922,3.7843,19.882256,27.952,10.6523,93.232,22.6,2.049850603214349,0.052,0
2025-03-24T10:11:49Z,1.161,10.5655,22.05,3.1716,0.1278,0.5922,3.8598,19.842549000000002,27.897,10.5772,93.003,22.758,2.0456365929580214,0.051,0
2025-03-24T10:11:49Z,1.175,10.5643,22.05,3.1792,0.1278,0.5922,3.7994,19.820199,27.866,10.5011,92.993,22.57,2.0432967387095933,0.05,0
2025-03-24T10:11:49Z,1.188,10.5632,22.05,3.1602,0.1278,0.5922,3.8296,19.837113,27.891,10.4341,93.174,22.133,2.0452978050888766,0.049,0
2025-03-24T10:11:49Z,1.201,10.5621,22.05,3.389,0.1278,0.5922,3.8447,19.838084,27.892,10.3852,93.497,21.842,2.0454360972122134,0.048,0
2025-03-24T10:11:49Z,1.213,10.5612,22.05,3.389,0.1278,0.5922,3.7994,19.815407,27.861,10.3599,93.902,21.847,2.043079410446732,0.047,0
2025-03-24T10:11:49Z,1.224,10.5604,22.05,3.4539,0.1278,0.5922,3.8296,19.810812,27.854,10.359,94.328,21.809,2.0425800979586053,0.047,0
2025-03-24T10:11:49Z,1.235,10.5598,22.05,3.3929,0.1278,0.5922,3.7994,19.825063,27.874,10.3793,94.734,21.875,2.044165477033413,0.048,0
2025-03-24T10:11:49Z,1.246,10.5594,21.96,3.5493,0.1278,0.5922,3.5275,19.846036,27.903,10.4155,95.096,21.856,2.0464385528678304,0.05,0
2025-03-24T10:11:49Z,1.258,10.5591,21.96,3.5264,0.1278,0.5922,3.5124,19.863398,27.928,10.4606,95.402,21.851,2.048395734828507,0.055,0
2025-03-24T10:11:49Z,1.272,10.5591,21.96,3.5378,0.1278,0.5922,3.5426,19.877799,27.949,10.508,95.646,21.554,2.050025714772134,0.061,0
2025-03-24T10:11:49Z,1.288,10.5591,21.96,3.5226,0.1278,0.5922,3.5728,19.89905,27.979,10.5533,95.824,21.041,2.0523545341577365,0.067,0
2025-03-24T10:11:49Z,1.307,10.5592,21.96,3.8392,0.1704,0.54990000000000006,3.9203,19.922866,28.013,10.5936,95.94,20.375,2.0549885036188402,0.074,0
2025-03-24T10:11:49Z,1.327,10.559,21.96,3.8506,0.1704,0.54990000000000006,3.8145,19.939673,28.038,10.6277,96.016,19.614,2.0569404136846146,0.079,0
2025-03-24T10:11:49Z,1.349,10.5587,21.96,3.8735,0.1704,0.54990000000000006,3.8901,19.932055,28.028,10.655,96.067,19.18,2.056179922833257,0.083,0
2025-03-24T10:11:49Z,1.372,10.5581,21.96,3.8163,0.1704,0.54990000000000006,3.8447,19.89798,27.981,10.6749,96.098,18.353,2.0525629849449634,0.085,0
2025-03-24T10:11:49Z,1.394,10.5574,21.96,3.5187,0.1704,0.54990000000000006,3.8447,19.868175,27.941,10.688,96.121,17.488,2.049495397737767,0.085,0
2025-03-24T10:11:49Z,1.417,10.5565,22.05,3.5378,0.1704,0.6345,3.8145,19.864551,27.939,10.6967,96.145,17.307,2.0493895299372142,0.083,0
2025-03-24T10:11:49Z,1.438,10.5552,22.05,3.5454,0.1704,0.6345,3.8296,19.876188,27.957,10.7028,96.163,17.116,2.050858885947239,0.081,0
2025-03-24T10:11:49Z,1.458,10.5532,22.05,3.5531,0.1704,0.6345,3.7994,19.884293,27.97,10.7068,96.159,16.741,2.0519791872115074,0.078,0
2025-03-24T10:11:49Z,1.477,10.5507,22.05,3.4806,0.1704,0.6345,3.5577,19.885054,27.972,10.71,96.117,16.367,2.052273207434748,0.076,0
2025-03-24T10:11:49Z,1.496,10.5479,22.05,3.4882,0.1704,0.5076,3.4369,19.880666,27.967,10.7133,96.045,16.039,2.0520403033904002,0.075,0
2025-03-24T10:11:49Z,1.514,10.5453,22.05,3.473,0.1704,0.5076,3.5275,19.869958,27.952,10.7159,95.964,16.067,2.051019536625681,0.074,0
2025-03-24T10:11:49Z,1.532,10.5433,22.05,3.4844,0.1704,0.5076,3.5124,19.858038,27.936,10.7159,95.893,15.842,2.049887594196069,0.074,0
2025-03-24T10:11:49Z,1.551,10.5418,22.05,3.7095,0.1704,0.5076,3.8145,19.849689,27.925,10.7117,95.84,15.397,2.0491161204867154,0.075,0
2025-03-24T10:11:49Z,1.57,10.5407,22.05,3.7286,0.1704,0.6345,3.7692,19.838703,27.91,10.7039,95.81,14.926,2.048011636421654,0.076,0
2025-03-24T10:11:49Z,1.59,10.5398,22.05,3.7019,0.1704,0.6345,3.8296,19.838075,27.909,10.6951,95.798,14.59,2.0479833931213633,0.077,0
2025-03-24T10:11:49Z,1.61,10.5391,22.05,3.7133,0.1704,0.6345,3.8296,19.863563,27.945,10.6874,95.796,14.432,2.0508181628632713,0.079,0
2025-03-24T10:11:49Z,1.63,10.5386,22.05,3.3776,0.1704,0.6345,4.026,19.896087,27.992,10.6816,95.802,14.045,2.0544967194948907,0.08,0
2025-03-24T10:11:49Z,1.651,10.5384,22.05,3.3585,0.1704,0.6345,4.0864,19.920431,28.028,10.6783,95.819,13.824,2.0573043313845667,0.081,0
2025-03-24T10:11:49Z,1.672,10.5382,22.05,3.3433,0.1704,0.6345,4.0864,19.929153,28.043,10.6771,95.843,13.752,2.058480410209587,0.082,0
2025-03-24T10:11:49Z,1.693,10.5378,22.05,3.3662,0.1704,0.6345,4.0411,19.918606,28.032,10.6769,95.868,13.314,2.057647375574682,0.082,0
2025-03-24T10:11:49Z,1.715,10.5369,22.05,3.3967,0.1704,0.6345,4.0411,19.899914,28.01,10.6778,95.893,12.74,2.0559875363925597,0.081,0
2025-03-24T10:11:49Z,1.737,10.5347,22.05,3.4043,0.1704,0.6345,3.9958,19.870081,27.972,10.6802,95.918,12.158,2.053157101856955,0.079,0
2025-03-24T10:11:49Z,1.758,10.5308,22.05,3.4157,0.1278,0.6345,3.8901,19.833095,27.923,10.6839,95.942,11.845,2.0495666248697457,0.074,0
2025-03-24T10:11:49Z,1.777,10.5254,22.05,3.4424,0.1278,0.6345,4.0562,19.814924,27.9,10.688,95.97,11.684,2.0480795005865158,0.069,0
2025-03-24T10:11:49Z,1.793,10.5195,22.05,3.1487,0.1278,0.6345,3.8447,19.820677,27.909,10.6922,96.008,11.59,2.0491067128605085,0.063,0
2025-03-24T10:11:49Z,1.808,10.5144,22.05,3.0877,0.1278,0.6345,3.7843,19.83198,27.925,10.6963,96.055,11.468,2.050633833343401,0.059,0
2025-03-24T10:11:49Z,1.821,10.5106,22.05,3.1144,0.1278,0.6345,3.739,19.843887,27.943,10.7,96.11,11.515,2.052244477288595,0.056,0
